Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
rpoS (AL347_24665);PA2501;+;PA2501
rpoS (AL347_24665);PA2475;+;PA2475
rpoS (AL347_24665);PA2371;+;PA2371 (clpV3)
rpoS (AL347_24665);PA2370;+;PA2370 (hsiH3)
rpoS (AL347_24665);PA2369;+;PA2369 (hsiG3)
rpoS (AL347_24665);PA2368;+;PA2368 (hsiF3)
rpoS (AL347_24665);PA2367;+;PA2367 (hcp3)
rpoS (AL347_24665);PA2366;+;PA2366 (hsiC3, puuD)
rpoS (AL347_24665);PA2365;+;PA2365 (hsiB3)
rpoS (AL347_24665);PA2364;+;PA2364 (lip3)
rpoS (AL347_24665);PA2363;+;PA2363 (hsiJ3)
rpoS (AL347_24665);PA2362;+;PA2362 (dotU3)
rpoS (AL347_24665);PA2361;+;PA2361 (icmF3)
rpoS (AL347_24665);PA2360;+;PA2360 (hsiA3)
rpoS (AL347_24665);bkdB;+;bkdB
rpoS (AL347_24665);bkdA2;+;bkdA2
rpoS (AL347_24665);bkdA1;+;bkdA1
rpoS (AL347_24665);PA2076;+;PA2076
rpoS (AL347_24665);PA2072;+;PA2072
rpoS (AL347_24665);cmrA;+;cmrA
rpoS (AL347_24665);PA2024;+;PA2024
rpoS (AL347_24665);PA1951;+;PA1951 (fapF)
rpoS (AL347_24665);PA1930;+;PA1930
rpoS (AL347_24665);PA1888;+;PA1888
rpoS (AL347_24665);PA1887;+;PA1887
rpoS (AL347_24665);PA1881;+;PA1881
rpoS (AL347_24665);PA1880;+;PA1880
rpoS (AL347_24665);bapB;+;bapB
rpoS (AL347_24665);PA1860;+;PA1860
rpoS (AL347_24665);PA1784;+;PA1784
rpoS (AL347_24665);PA1745;+;PA1745
rpoS (AL347_24665);PA1728;+;PA1728
rpoS (AL347_24665);PA1590;+;PA1590 (braB)
rpoS (AL347_24665);PA1584;+;PA1584 (sdhB)
rpoS (AL347_24665);PA1583;+;PA1583 (sdhA)
rpoS (AL347_24665);PA1582;+;PA1582 (sdhD)
rpoS (AL347_24665);PA1581;+;PA1581 (sdhC, cybA)
rpoS (AL347_24665);PA1563;+;PA1563
rpoS (AL347_24665);PA1562;+;PA1562  (acnA, acn)
rpoS (AL347_24665);gbuR;+;gbuR
rpoS (AL347_24665);PA1415;+;PA1415
rpoS (AL347_24665);PA1414;+;PA1414
rpoS (AL347_24665);PA1358;+;PA1358
rpoS (AL347_24665);PA1343;+;PA1343
rpoS (AL347_24665);PA1333;+;PA1333
rpoS (AL347_24665);PA1289;+;PA1289
rpoS (AL347_24665);oprH;+;oprH
rpoS (AL347_24665);PA1177;+;PA1177 (napE)
rpoS (AL347_24665);PA1176;+;PA1176 (napF)
rpoS (AL347_24665);PA1175;+;PA1175 (napD)
rpoS (AL347_24665);PA1173;+;PA1173 (napB)
rpoS (AL347_24665);PA1172;+;PA1172 (napC)
rpoS (AL347_24665);PA1163;+;PA1163 (ndvB)
rpoS (AL347_24665);PA1121;+;PA1121 (yfiR)
rpoS (AL347_24665);tpbB;+;tpbB
rpoS (AL347_24665);PA1119;+;PA1119 (yfiB)
rpoS (AL347_24665);PA1118;+;PA1118
rpoS (AL347_24665);PA1076;+;PA1076
rpoS (AL347_24665);PA1065;+;PA1065
rpoS (AL347_24665);PA1041;+;PA1041
rpoS (AL347_24665);PA1040;+;PA1040
rpoS (AL347_24665);PA1039;+;PA1039
rpoS (AL347_24665);PA1038;+;PA1038
rpoS (AL347_24665);PA1014;+;PA1014 (wapB)
rpoS (AL347_24665);PA0988;+;PA0988
rpoS (AL347_24665);PA0959;+;PA0959
rpoS (AL347_24665);PA0918;+;PA0918
rpoS (AL347_24665);rsmA;+;rsmA
rpoS (AL347_24665);phhA;+;phhA
rpoS (AL347_24665);PA0862;+;PA0862
rpoS (AL347_24665);PA0861;+;PA0861 (rbdA)
rpoS (AL347_24665);PA0837;+;PA0837 (slyD)
rpoS (AL347_24665);PA0833;+;PA0833
rpoS (AL347_24665);PA0818;+;PA0818
rpoS (AL347_24665);PA0788;+;PA0788
rpoS (AL347_24665);PA0773;+;PA0773 (pdxJ)
rpoS (AL347_24665);PA0772;+;PA0772 (recO)
rpoS (AL347_24665);PA0771;+;PA0771 (era)
rpoS (AL347_24665);PA0770;+;PA0770 (rnc)
rpoS (AL347_24665);PA0769;+;PA0769
rpoS (AL347_24665);PA0704;+;PA0704
rpoS (AL347_24665);PA0703;+;PA0703
rpoS (AL347_24665);PA0588;+;PA0588
rpoS (AL347_24665);PA0587;+;PA0587
rpoS (AL347_24665);PA0586;+;PA0586
rpoS (AL347_24665);PA0575;+;PA0575 (rmcA)
rpoS (AL347_24665);PA0563;+;PA0563
rpoS (AL347_24665);fadE;+;fadE
rpoS (AL347_24665);PA0484;+;PA0484
rpoS (AL347_24665);PA0483;+;PA0483
rpoS (AL347_24665);PA0459;+;PA0459
rpoS (AL347_24665);PA0452;+;PA0452
rpoS (AL347_24665);PA0451;+;PA0451
rpoS (AL347_24665);dht;+;dht
rpoS (AL347_24665);PA0440;+;PA0440
rpoS (AL347_24665);PA0439;+;PA0439
rpoS (AL347_24665);PA0423;+;PA0423 (pasP, yceI)
rpoS (AL347_24665);PA0422;+;PA0422
rpoS (AL347_24665);PA0397;+;PA0397
rpoS (AL347_24665);PA0315;+;PA0315
rpoS (AL347_24665);PA0312;+;PA0312
rpoS (AL347_24665);PA0179;+;PA0179
rpoS (AL347_24665);PA0178;+;PA0178
rpoS (AL347_24665);PA0177;+;PA0177
rpoS (AL347_24665);PA0175;+;PA0175 (cheR2)
rpoS (AL347_24665);PA0174;+;PA0174
rpoS (AL347_24665);PA0173;+;PA0173
rpoS (AL347_24665);PA0109;+;PA0109
rpoS (AL347_24665);PA0097;+;PA0097
rpoS (AL347_24665);PA0096;+;PA0096
rpoS (AL347_24665);PA0052;+;PA0052
rpoS (AL347_24665);PA0050;+;PA0050
rpoS (AL347_24665);PA0028;+;PA0028
rpoS (AL347_24665);PA0027;+;PA0027
rpoS (AL347_24665);plcB;+;plcB
rpoS (AL347_24665);PA0016;+;PA0016 (trkA)
rpoS (AL347_24665);PA0004;+;PA0004 (gyrB)
rpoS (AL347_24665);PA0003;+;PA0003 (recF)
rpoS (AL347_24665);PA0002;+;PA0002 (dnaN)
rpoS (AL347_24665);dnaA;+;dnaA
rpoS (AL347_24665);hcnA;?;hcnA
rpoS (AL347_24665);phzC1;?;phzC1
rpoS (AL347_24665);phzF1;?;phzF1
rpoS (AL347_24665);lasB;?;lasB
rpoS (AL347_24665);lecA;?;lecA
rpoS (AL347_24665);aer2;?;aer2
rpoS (AL347_24665);phzF2;?;phzF2
rpoS (AL347_24665);phzD1;?;phzD1
rpoS (AL347_24665);phzB1;?;phzB1
rpoS (AL347_24665);phzG1;?;phzG1
rpoS (AL347_24665);hcnC;?;hcnC
rpoS (AL347_24665);hcnB;?;hcnB
rpoS (AL347_24665);cttP;?;cttP
rpoS (AL347_24665);phzA1;?;phzA1
rpoS (AL347_24665);phzG2;?;phzG2
rpoS (AL347_24665);lasA;?;lasA
rpoS (AL347_24665);phzE1;?;phzE1
rsaL (AL347_05610);triC;?;triC
rsaL (AL347_05610);cerN;?;cerN
rsaL (AL347_05610);PA1333;?;PA1333
rsaL (AL347_05610);qsrO;?;qsrO
rsaL (AL347_05610);PA2228;?;PA2228
rsaL (AL347_05610);pqsH;?;pqsH
rsaL (AL347_05610);acpP;?;acpP
rsaL (AL347_05610);gyrA;?;gyrA
rsaL (AL347_05610);PA3342;?;PA3342
rsaL (AL347_05610);PA3638;?;PA3638
rsaL (AL347_05610);PA3669;?;PA3669
rsaL (AL347_05610);PA3722;?;PA3722
rsaL (AL347_05610);PA3774;?;PA3774
rsaL (AL347_05610);glyA3;?;glyA3
rsaL (AL347_05610);PA4767;?;PA4767
rsaL (AL347_05610);retS;?;retS
rsaL (AL347_05610);sphR;?;sphR
rsaL (AL347_05610);PA5517;?;PA5517
rsaL (AL347_05610);lasI;-;lasI
rsaL (AL347_05610);phzA1;-;phzA1
rsaL (AL347_05610);lasB;?;lasB
rsaL (AL347_05610);rsaL;-;rsaL
rsaL (AL347_05610);phzM;-;phzM
rsaL (AL347_05610);hcnA;-;hcnA
rsaL (AL347_05610);phzF1;?;phzF1
rsaL (AL347_05610);phzF2;?;phzF2
rsaL (AL347_05610);phzB1;?;phzB1
rsaL (AL347_05610);phzC1;?;phzC1
rsaL (AL347_05610);phzE1;?;phzE1
rsaL (AL347_05610);phzD1;?;phzD1
rsaL (AL347_05610);phzG1;?;phzG1
rsaL (AL347_05610);phzG2;?;phzG2
rsaL (AL347_05610);hcnC;?;hcnC
rsaL (AL347_05610);hcnB;?;hcnB
rsmA (AL347_08970);fiuI;?;fiuI
rsmA (AL347_08970);PA1300;?;PA1300 (hxuI)
rsmA (AL347_08970);femI;?;femI
rsmA (AL347_08970);foxI;?;foxI
rsmA (AL347_08970);fecI;?;fecI
rsmA (AL347_08970);pvdS;?;pvdS
sbrI (AL347_28405);PA0167;?;PA0167
sbrI (AL347_28405);PA0839;?;PA0839
sbrI (AL347_28405);muiA;?;muiA
sbrI (AL347_28405);bexR;?;bexR
sbrI (AL347_28405);sbrI;+;sbrI
sbrR (AL347_28410);sbrI;-;sbrI
sdsB1 (AL347_09825);sdsB1;+;sdsB1
sdsB1 (AL347_09825);sdsA1;+;sdsA1
sigX (AL347_03799);aguR;?;aguR
sigX (AL347_03799);dnr;?;dnr
sigX (AL347_03799);vreR;?;vreR
sigX (AL347_03799);ddaR;?;ddaR
sigX (AL347_03799);fliA;?;fliA
sigX (AL347_03799);anr;?;anr
sigX (AL347_03799);kdpD;?;kdpD
sigX (AL347_03799);PA2384;?;PA2384
sigX (AL347_03799);gacA;?;gacA
sigX (AL347_03799);psrA;?;psrA
sigX (AL347_03799);PA3225;?;PA3225
sigX (AL347_03799);amrZ;?;amrZ
sigX (AL347_03799);PA3458;?;PA3458
sigX (AL347_03799);rhlR;?;rhlR
sigX (AL347_03799);narL;?;narL
sigX (AL347_03799);fecI;?;fecI
sigX (AL347_03799);PA4132;?;PA4132 (mpaR)
sigX (AL347_03799);pprB;?;pprB
sigX (AL347_03799);roxS;?;roxS
sigX (AL347_03799);cbrB;?;cbrB
sigX (AL347_03799);PA4781;?;PA4781
sigX (AL347_03799);yegQ;?;yegQ
sigX (AL347_03799);PA5506;?;PA5506
sigX (AL347_03799);lasR;?;lasR
sigX (AL347_03799);PA5559;+;PA5559 (atpE, papH, uncE)
sigX (AL347_03799);PA5558;+;PA5558 (atpF, papF, uncF)
sigX (AL347_03799);PA5557;+;PA5557 (atpH, papE, uncH)
sigX (AL347_03799);PA5556;+;PA5556 (atpA, papA, uncA)
sigX (AL347_03799);PA5555;+;PA5555 (atpG, papC, uncG)
sigX (AL347_03799);PA5554;+;PA5554 (atpD, papB, uncD)
sigX (AL347_03799);PA5553;+;PA5553 (atpC, papG, uncC)
sigX (AL347_03799);PA5546;+;PA5546
sigX (AL347_03799);PA5519;+;PA5519
sigX (AL347_03799);PA5518;+;PA5518
sigX (AL347_03799);PA5517;+;PA5517
sigX (AL347_03799);PA5510;+;PA5510
sigX (AL347_03799);PA5508;+;PA5508 (pauA7)
sigX (AL347_03799);PA5507;+;PA5507
sigX (AL347_03799);PA5504;+;PA5504
sigX (AL347_03799);nrdJb;+;nrdJb
sigX (AL347_03799);PA5464;+;PA5464
sigX (AL347_03799);PA5463;+;PA5463
sigX (AL347_03799);PA5462;+;PA5462
sigX (AL347_03799);PA5461;+;PA5461
sigX (AL347_03799);dgcA;+;dgcA
sigX (AL347_03799);PA5303;+;PA5303
sigX (AL347_03799);PA5239;+;PA5239 (rho)
sigX (AL347_03799);PA5220;+;PA5220
sigX (AL347_03799);PA5217;+;PA5217
sigX (AL347_03799);PA5174;+;PA5174 (fabY)
sigX (AL347_03799);arcC;+;arcC
sigX (AL347_03799);arcB;+;arcB
sigX (AL347_03799);arcA;+;arcA
sigX (AL347_03799);PA5132;+;PA5132
sigX (AL347_03799);pilN;+;pilN
sigX (AL347_03799);pilP;+;pilP
sigX (AL347_03799);aceE;+;aceE
sigX (AL347_03799);pncB1;+;pncB1
sigX (AL347_03799);PA4899;+;PA4899
sigX (AL347_03799);PA4881;+;PA4881
sigX (AL347_03799);PA4849;+;PA4849
sigX (AL347_03799);PA4848;+;PA4848 (accC)
sigX (AL347_03799);PA4847;+;PA4847 (accB, fabE)
sigX (AL347_03799);PA4846;+;PA4846 (aroQ1, aroD1)
sigX (AL347_03799);PA4783;+;PA4783
sigX (AL347_03799);PA4782;+;PA4782
sigX (AL347_03799);PA4743;+;PA4743 (rbfA)
sigX (AL347_03799);PA4742;+;PA4742 (truB)
sigX (AL347_03799);phuS;+;phuS
sigX (AL347_03799);phuT;+;phuT
sigX (AL347_03799);phuU;+;phuU
sigX (AL347_03799);PA4706;+;PA4706 (phuV)
sigX (AL347_03799);PA4705;+;PA4705 (phuW)
sigX (AL347_03799);PA4657;+;PA4657
sigX (AL347_03799);PA4624;+;PA4624 (cdrB)
sigX (AL347_03799);PA4620;+;PA4620
sigX (AL347_03799);PA4456;+;PA4456
sigX (AL347_03799);PA4455;+;PA4455
sigX (AL347_03799);PA4454;+;PA4454
sigX (AL347_03799);PA4453;+;PA4453
sigX (AL347_03799);PA4452;+;PA4452
sigX (AL347_03799);PA4441;+;PA4441
sigX (AL347_03799);PA4432;+;PA4432 (rpsI)
sigX (AL347_03799);PA4419;+;PA4419 (ftsL)
sigX (AL347_03799);pctC;+;pctC
sigX (AL347_03799);PA4276;+;PA4276 (secE, prlG)
sigX (AL347_03799);PA4268;+;PA4268 (rpsL, str)
sigX (AL347_03799);PA4264;+;PA4264 (rpsJ)
sigX (AL347_03799);rplC;+;rplC
sigX (AL347_03799);PA4262;+;PA4262 (rplD)
sigX (AL347_03799);PA4261;+;PA4261 (rplW)
sigX (AL347_03799);PA4260;+;PA4260 (rplB)
sigX (AL347_03799);PA4259;+;PA4259 (rpsS)
sigX (AL347_03799);PA4258;+;PA4258 (rplV)
sigX (AL347_03799);PA4257;+;PA4257 (rpsC)
sigX (AL347_03799);PA4256;+;PA4256 (rplP)
sigX (AL347_03799);PA4255;+;PA4255 (rpmC)
sigX (AL347_03799);PA4254;+;PA4254 (rpsQ)
sigX (AL347_03799);PA4253;+;PA4253 (rplN)
sigX (AL347_03799);PA4252;+;PA4252 (rplX)
sigX (AL347_03799);PA4251;+;PA4251 (rplE)
sigX (AL347_03799);PA4243;+;PA4243 (secY, prlA)
sigX (AL347_03799);PA4238;+;PA4238 (rpoA)
sigX (AL347_03799);phzB1;+;phzB1
sigX (AL347_03799);mexI;+;mexI
sigX (AL347_03799);mexH;+;mexH
sigX (AL347_03799);PA4131;+;PA4131
sigX (AL347_03799);cupB2;+;cupB2
sigX (AL347_03799);PA4067;+;PA4067 (oprG, yciD, ompW)
sigX (AL347_03799);lipA;+;lipA
sigX (AL347_03799);PA3972;+;PA3972
sigX (AL347_03799);PA3912;+;PA3912
sigX (AL347_03799);nark1;+;nark1
sigX (AL347_03799);nark2;+;nark2
sigX (AL347_03799);narG;+;narG
sigX (AL347_03799);narH;+;narH
sigX (AL347_03799);narJ;+;narJ
sigX (AL347_03799);narI;+;narI
sigX (AL347_03799);PA3871;+;PA3871
sigX (AL347_03799);PA3870;+;PA3870 (moaA1)
sigX (AL347_03799);PA3822;+;PA3822
sigX (AL347_03799);PA3819;+;PA3819
sigX (AL347_03799);fdx2;+;fdx2
sigX (AL347_03799);iscX;+;iscX
sigX (AL347_03799);PA3799;+;PA3799
sigX (AL347_03799);PA3762;+;PA3762
sigX (AL347_03799);PA3700;+;PA3700 (lysS)
sigX (AL347_03799);PA3645;+;PA3645 (fabZ, sefA)
sigX (AL347_03799);PA3644;+;PA3644 (lpxA)
sigX (AL347_03799);PA3643;+;PA3643 (lpxB, pgsB)
sigX (AL347_03799);PA3642;+;PA3642 (rnhB)
sigX (AL347_03799);accA;+;accA
sigX (AL347_03799);PA3638;+;PA3638
sigX (AL347_03799);PA3609;+;PA3609 (potC)
sigX (AL347_03799);PA3595;+;PA3595
sigX (AL347_03799);algF;+;algF
sigX (AL347_03799);algJ;+;algJ
sigX (AL347_03799);PA3517;+;PA3517
sigX (AL347_03799);rhlA;+;rhlA
sigX (AL347_03799);rhlB;+;rhlB
sigX (AL347_03799);PA3461;+;PA3461
sigX (AL347_03799);PA3460;+;PA3460
sigX (AL347_03799);PA3459;+;PA3459
sigX (AL347_03799);PA3336;+;PA3336
sigX (AL347_03799);PA3334;+;PA3334 (acp3)
sigX (AL347_03799);fabH2;+;fabH2
sigX (AL347_03799);PA3332;+;PA3332
sigX (AL347_03799);PA3331;+;PA3331
sigX (AL347_03799);PA3330;+;PA3330
sigX (AL347_03799);PA3329;+;PA3329
sigX (AL347_03799);PA3328;+;PA3328
sigX (AL347_03799);PA3327;+;PA3327
sigX (AL347_03799);clpP2;+;clpP2
sigX (AL347_03799);PA3286;+;PA3286
sigX (AL347_03799);PA3284;+;PA3284
sigX (AL347_03799);PA3283;+;PA3283
sigX (AL347_03799);PA3282;+;PA3282
sigX (AL347_03799);PA3281;+;PA3281
sigX (AL347_03799);PA3267;+;PA3267
sigX (AL347_03799);PA3162;+;PA3162 (rpsA)
sigX (AL347_03799);PA3139;+;PA3139
sigX (AL347_03799);PA3111;+;PA3111 (folC)
sigX (AL347_03799);PA3110;+;PA3110
sigX (AL347_03799);PA3109;+;PA3109
sigX (AL347_03799);PA3081;+;PA3081
sigX (AL347_03799);PA3032;+;PA3032 (snr1)
sigX (AL347_03799);PA3012;+;PA3012
sigX (AL347_03799);PA3000;+;PA3000 (aroP1)
sigX (AL347_03799);PA2968;+;PA2968 (fabD)
sigX (AL347_03799);PA2950;+;PA2950 (fabV, pfm)
sigX (AL347_03799);PA2777;+;PA2777
sigX (AL347_03799);PA2658;+;PA2658
sigX (AL347_03799);PA2566;+;PA2566
sigX (AL347_03799);PA2565;+;PA2565
sigX (AL347_03799);PA2564;+;PA2564
sigX (AL347_03799);PA2560;+;PA2560
sigX (AL347_03799);PA2541;+;PA2541
sigX (AL347_03799);ptrC;+;ptrC
sigX (AL347_03799);PA2485;+;PA2485
sigX (AL347_03799);foxA;+;foxA
sigX (AL347_03799);PA2462;+;PA2462
sigX (AL347_03799);pvdL;+;pvdL
sigX (AL347_03799);PA2410;+;PA2410 (fpvF)
sigX (AL347_03799);PA2409;+;PA2409 (fpvE)
sigX (AL347_03799);PA2406;+;PA2406 (fpvK)
sigX (AL347_03799);PA2405;+;PA2405 (fpvJ)
sigX (AL347_03799);PA2404;+;PA2404 (fpvH)
sigX (AL347_03799);PA2318;+;PA2318
sigX (AL347_03799);PA2317;+;PA2317
sigX (AL347_03799);PA2215;+;PA2215 (lyxD)
sigX (AL347_03799);PA2212;+;PA2212
sigX (AL347_03799);PA2211;+;PA2211
sigX (AL347_03799);hcnB;+;hcnB
sigX (AL347_03799);PA2072;+;PA2072
sigX (AL347_03799);PA1942;+;PA1942
sigX (AL347_03799);hvn;+;hvn
sigX (AL347_03799);phzG2;+;phzG2
sigX (AL347_03799);phzB2;+;phzB2
sigX (AL347_03799);PA1852;+;PA1852
sigX (AL347_03799);PA1848;+;PA1848
sigX (AL347_03799);cmpX;+;cmpX
sigX (AL347_03799);PA1774;+;PA1774 (crfX)
sigX (AL347_03799);pscL;+;pscL
sigX (AL347_03799);pscK;+;pscK
sigX (AL347_03799);pscJ;+;pscJ
sigX (AL347_03799);pscI;+;pscI
sigX (AL347_03799);pscH;+;pscH
sigX (AL347_03799);pscG;+;pscG
sigX (AL347_03799);pscF;+;pscF
sigX (AL347_03799);pscE;+;pscE
sigX (AL347_03799);pscD;+;pscD
sigX (AL347_03799);pscC;+;pscC
sigX (AL347_03799);pscB;+;pscB
sigX (AL347_03799);exsD;+;exsD
sigX (AL347_03799);exsB;+;exsB
sigX (AL347_03799);exsC;+;exsC
sigX (AL347_03799);PA1708;+;PA1708 (popB, pepB)
sigX (AL347_03799);PA1689;+;PA1689
sigX (AL347_03799);PA1662;+;PA1662 (clpV2)
sigX (AL347_03799);hsiF2;+;hsiF2
sigX (AL347_03799);hsiC2;+;hsiC2
sigX (AL347_03799);PA1634;+;PA1634 (kdpB, atkB)
sigX (AL347_03799);PA1612;+;PA1612
sigX (AL347_03799);fabA;+;fabA
sigX (AL347_03799);PA1609;+;PA1609 (fabB)
sigX (AL347_03799);aer;+;aer
sigX (AL347_03799);ccoP2;+;ccoP2
sigX (AL347_03799);PA1530;+;PA1530
sigX (AL347_03799);PA1500;+;PA1500
sigX (AL347_03799);PA1499;+;PA1499
sigX (AL347_03799);PA1498;+;PA1498 (pykF, pyk-I)
sigX (AL347_03799);lasI;+;lasI
sigX (AL347_03799);PA1208;+;PA1208
sigX (AL347_03799);PA1207;+;PA1207 (kefB, kefC, trkB)
sigX (AL347_03799);PA1181;+;PA1181
sigX (AL347_03799);PA1096;+;PA1096
sigX (AL347_03799);PA1093;+;PA1093
sigX (AL347_03799);fliC;+;fliC
sigX (AL347_03799);slyB;+;slyB
sigX (AL347_03799);PA1007;+;PA1007
sigX (AL347_03799);PA1006;+;PA1006
sigX (AL347_03799);pqsA;+;pqsA
sigX (AL347_03799);tolB;+;tolB
sigX (AL347_03799);tolA;+;tolA
sigX (AL347_03799);tolR;+;tolR
sigX (AL347_03799);tolQ;+;tolQ
sigX (AL347_03799);PA0968;+;PA0968
sigX (AL347_03799);PA0954;+;PA0954
sigX (AL347_03799);PA0953;+;PA0953
sigX (AL347_03799);PA0951;+;PA0951
sigX (AL347_03799);PA0834;+;PA0834
sigX (AL347_03799);PA0798;+;PA0798 (pmtA)
sigX (AL347_03799);PA0697;+;PA0697
sigX (AL347_03799);phdA;+;phdA
sigX (AL347_03799);PA0690;+;PA0690 (pdtA)
sigX (AL347_03799);tyrZ;+;tyrZ
sigX (AL347_03799);nirS;+;nirS
sigX (AL347_03799);nirN;+;nirN
sigX (AL347_03799);bioD;+;bioD
sigX (AL347_03799);PA0503;+;PA0503
sigX (AL347_03799);PA0502;+;PA0502
sigX (AL347_03799);bioF;+;bioF
sigX (AL347_03799);bioB;+;bioB
sigX (AL347_03799);PA0469;+;PA0469
sigX (AL347_03799);PA0454;+;PA0454
sigX (AL347_03799);oprM;+;oprM
sigX (AL347_03799);mexB;+;mexB
sigX (AL347_03799);PA0420;+;PA0420 (bioA)
sigX (AL347_03799);PA0419;+;PA0419
sigX (AL347_03799);PA0418;+;PA0418
sigX (AL347_03799);PA0359;+;PA0359
sigX (AL347_03799);PA0358;+;PA0358
sigX (AL347_03799);PA0346;+;PA0346
sigX (AL347_03799);PA0320;+;PA0320 (carO, ygiW)
sigX (AL347_03799);PA0256;+;PA0256
sigX (AL347_03799);PA0196;+;PA0196 (pntB)
sigX (AL347_03799);PA0195.1;+;PA0195.1 (pntAB)
sigX (AL347_03799);PA0162;+;PA0162 (opdC) 
sigX (AL347_03799);coIII;+;coIII
sigX (AL347_03799);PA0107;+;PA0107
sigX (AL347_03799);coxA;+;coxA
sigX (AL347_03799);coxB;+;coxB
sigX (AL347_03799);PA0102;+;PA0102
sigX (AL347_03799);PA0046;+;PA0046
sigX (AL347_03799);PA0009;+;PA0009 (glyQ)
sigX (AL347_03799);PA0008;+;PA0008 (glyS)
sigX (AL347_03799);PA0006;+;PA0006
sigX (AL347_03799);lptA;+;lptA
sigX (AL347_03799);PA2881;+;PA2881
sigX (AL347_03799);PA2692;+;PA2692
sigX (AL347_03799);sigX;?;sigX
sigX (AL347_03799);exsA;+;exsA
sigX (AL347_03799);exsE;+;exsE
sigX (AL347_03799);PA1611;+;PA1611
sigX (AL347_03799);PA0942;+;PA0942
sigX (AL347_03799);PA0515;+;PA0515
sigX (AL347_03799);pobR;+;pobR
sigX (AL347_03799);PA3285;+;PA3285
soxR (AL347_00695);PA2274;+;PA2274
soxR (AL347_00695);PA0344;?;PA0344
soxR (AL347_00695);PA0570;?;PA0570
soxR (AL347_00695);cat;?;cat
soxR (AL347_00695);PA0874;?;PA0874
soxR (AL347_00695);lysC;?;lysC
soxR (AL347_00695);PA1012;?;PA1012
soxR (AL347_00695);PA1197;?;PA1197
soxR (AL347_00695);PA1200;?;PA1200
soxR (AL347_00695);PA2004;?;PA2004
soxR (AL347_00695);lpdV;?;lpdV
soxR (AL347_00695);PA2502;?;PA2502
soxR (AL347_00695);acpP;?;acpP
soxR (AL347_00695);PA3328;?;PA3328
soxR (AL347_00695);amiR;?;amiR
soxR (AL347_00695);amiC;?;amiC
soxR (AL347_00695);rhlR;?;rhlR
soxR (AL347_00695);PA3592;?;PA3592
soxR (AL347_00695);pyrG;?;pyrG
soxR (AL347_00695);glnD;?;glnD
soxR (AL347_00695);PA3759;?;PA3759
soxR (AL347_00695);nagE;?;nagE
soxR (AL347_00695);PA3892;?;PA3892
soxR (AL347_00695);ppgL;?;ppgL
soxR (AL347_00695);mexG;?;mexG
soxR (AL347_00695);mexH;?;mexH
soxR (AL347_00695);mexI;?;mexI
soxR (AL347_00695);PA4289;?;PA4289
soxR (AL347_00695);PA4291;?;PA4291
soxR (AL347_00695);PA4340;?;PA4340
soxR (AL347_00695);PA4510;?;PA4510
soxR (AL347_00695);PA4570;?;PA4570
soxR (AL347_00695);PA4586;?;PA4586
soxR (AL347_00695);PA4676;?;PA4676
soxR (AL347_00695);PA4685;?;PA4685
soxR (AL347_00695);PA4735;?;PA4735
soxR (AL347_00695);PA4987;?;PA4987
soxR (AL347_00695);PA3718;+;PA3718
soxR (AL347_00695);opmD;+;opmD
soxR (AL347_00695);soxR;+;soxR
sphR (AL347_16375);dnaA;?;dnaA
sphR (AL347_16375);PA0042;?;PA0042
sphR (AL347_16375);phzH;?;phzH
sphR (AL347_16375);PA0643;?;PA0643
sphR (AL347_16375);tyrZ;?;tyrZ
sphR (AL347_16375);phdA;?;phdA
sphR (AL347_16375);PA0718;?;PA0718
sphR (AL347_16375);cerN;?;cerN
sphR (AL347_16375);PA0874;?;PA0874
sphR (AL347_16375);PA0959;?;PA0959
sphR (AL347_16375);PA0981;?;PA0981
sphR (AL347_16375);PA0984;?;PA0984
sphR (AL347_16375);cupC3;?;cupC3
sphR (AL347_16375);imm2;?;imm2
sphR (AL347_16375);aprA;?;aprA
sphR (AL347_16375);PA1383;?;PA1383
sphR (AL347_16375);hsiA2;?;hsiA2
sphR (AL347_16375);qscR;?;qscR
sphR (AL347_16375);PA2229;?;PA2229
sphR (AL347_16375);vgrG3;?;vgrG3
sphR (AL347_16375);PA2569;?;PA2569
sphR (AL347_16375);nuoA;?;nuoA
sphR (AL347_16375);PA2698;?;PA2698
sphR (AL347_16375);PA2793;?;PA2793
sphR (AL347_16375);PA2795;?;PA2795 (dusA, yjbN)
sphR (AL347_16375);oprI;?;oprI
sphR (AL347_16375);acpP;?;acpP
sphR (AL347_16375);rocsS2;?;rocsS2
sphR (AL347_16375);rocA2;?;rocA2
sphR (AL347_16375);PA3047;?;PA3047
sphR (AL347_16375);fimV;?;fimV
sphR (AL347_16375);wbpM;?;wbpM
sphR (AL347_16375);wbpJ;?;wbpJ
sphR (AL347_16375);hisF2;?;hisF2
sphR (AL347_16375);hisH2;?;hisH2
sphR (AL347_16375);wbpE;?;wbpE
sphR (AL347_16375);wbpA;?;wbpA
sphR (AL347_16375);wzz;?;wzz
sphR (AL347_16375);gyrA;?;gyrA
sphR (AL347_16375);PA3190;?;PA3190
sphR (AL347_16375);oprP;?;oprP
sphR (AL347_16375);PA3309;?;PA3309
sphR (AL347_16375);PA3327;?;PA3327
sphR (AL347_16375);amrZ;?;amrZ
sphR (AL347_16375);PA3489;?;PA3489
sphR (AL347_16375);PA3519;?;PA3519
sphR (AL347_16375);PA3520;?;PA3520
